,sentence,intent
0,blood passover complete english text whole english text bloody passover online url,No Hate
1,something need point,No Hate
2,look featur,No Hate
4,kosher slaughter blessed every rabbi sun,No Hate
5,speak article started thread,No Hate
6,say fitting punishment dealing developmentally challenged children rest lif,No Hate
7,leaving week actual election hope right first heard suggest,No Hate
8,get picture old boss compar,No Hate
9,reality screwing punishment nothing deters rehabilit,No Hate
10,many groups ao wonder much toe stepping going occur hope none people get hurt,Hate
11,video center kold news click link video vekol valley looks like south interstate miles west hwy intersect,No Hate
12,pornography prostitution outlawed jewish filth nazi org uk,No Hate
13,let hope nearly white gold medal us women soccer team gets spirit,No Hate
14,death penalty anyone involved human trafficking forced prostitution anyone involving children,No Hate
15,think girls go clubs meet guys cause many guys makes easier meet one atleast thats told im danc,No Hate
16,negat,No Hate
17,eyes see clear,No Hate
18,need j ready california bord,No Hate
19,hospital take care diverse group patients use imagin,No Hate
20,run jap tonight,No Hate
21,wish luck wonder jew males lust white women,Hate
22,struggle race cultur,Hate
23,sad tim,No Hate
24,think final bills online least month scheduled vot,No Hate
25,holes feet filled oil instead wat,No Hate
26,please hurt fine masons first hand maps locations cupped oil wel,No Hate
27,dress like blacks talk ike act stupid,No Hate
28,honest long overdu,No Hate
29,may add something say asians like blacks most,No Hate
30,stocking canned goods still top prior,No Hate
31,proud race admire us want proud,Hate
32,lot white pride kids school,No Hate
33,long sports television white people car,No Hate
34,people germans learned lesson best think,No Hate
35,say cry havoc let slip dogs war,No Hate
36,iran patrol us east coast mdash rt report goes back september th last year,No Hate
37,since relatives used arranged trip feds new plan means new framed case february always comes big events distraction false flag terror attack war natural disast,No Hate
38,thing go get skin di,No Hate
39,iran war tim,No Hate
40,non whites happen,No Hate
41,eventually wo n able tell sad,No Hate
43,transpar,No Hate
44,love knowing guys opinions stuff like think girls dress etc thank person started thread excellent get insight male mind,No Hate
45,mexicans dress way,No Hate
46,indeed one n stop moment consider implications n see obvious contraction term,Hate
47,always taken surprise something happens forese,No Hate
48,marxist subversion happen,No Hate
49,n capit,No Hate
50,would gooks want look whit,No Hate
51,tells grand wizards oil kingdom playing folks fools help line pockets sadly succeed,No Hate
52,well goes dino dong theory memory mean water hole sorri,No Hate
53,kimora lee simmon,No Hate
54,family ok adn leave alone pretty liberal school,No Hate
