,sentence,intent
0,woman complain cleaning house amp man always take trash,Neither
1,boy dats cold tyga dwn bad cuffin dat hoe st plac,Offensive
2,dawg  sbaby life ever fuck bitch sta cry confused shit,Offensive
3,look like tranni,Offensive
4,shit hear might true might faker bitch told ya,Offensive
5,shit blows claim faithful somebody still fucking ho,Offensive
6,sit hate another bitch got much shit go,Offensive
7,cause tired big bitches coming us skinny girl,Offensive
8,amp might get ya bitch back amp that,Offensive
9,hobbies include fighting mariam bitch,Offensive
10,keeks bitch curves everyone lol walked conversation like smh,Offensive
11,murda gang bitch gang land,Offensive
12,hoes smoke losers yea go ig,Offensive
13,bad bitches thing lik,Offensive
14,bitch get,Offensive
15,bitch nigga miss,Offensive
16,bitch plz whatev,Offensive
17,bitch lov,Offensive
18,bitches get cut everyday b,Offensive
19,black bottle amp bad bitch,Offensive
20,broke bitch cant tell noth,Offensive
21,cancel bitch like nino,Offensive
22,cant see hoes wont chang,Offensive
23,fuck bitch dont even suck dick kermit videos bout fuck ig,Offensive
24,got ya bitch tip toeing hardwood floor,Offensive
25,pussy lips like heaven door,Offensive
26,hoe hit,Offensive
27,met pussy ocean dr gave pussy pil,Offensive
28,need trippy bitch fuck hennessi,Offensive
29,spend money want bitch busi,Offensive
30,txt old bitch new bitch pussy wett,Offensive
31,say im back old old bitches would get excit,Offensive
32,aint bout murder game pussy nigga shut,Offensive
33,toes done pussy stink,Offensive
34,im done bitter bitches wrap angry bird theres app,Offensive
35,ya bitch,Offensive
36,aint nothing cut bitch,Offensive
37,jus meet son ya mane ass bitch,Offensive
38,lames crying hoes thats tears clown,Offensive
39,like snoop said dont love ho,Offensive
40,momma said pussy cats inside doghous,Neither
41,hated hoes favorite mw,Offensive
42,nice girls bad make get naughty bad yello hoe real nice body south chick like em real thick,Offensive
43,pimps pimps hoes future voic,Offensive
44,post picture pussy get lik,Offensive
45,pussy powerful drug,Offensive
46,quick piece pussy call dr,Offensive
47,running round like brand new pussy thats bout get fuck,Offensive
48,bitches even worst send guy,Offensive
49,hoes like niggas spend money talk bout,Offensive
50,dont trust niggas bitch,Offensive
51,yall niggas b cuffing hoes cause yall aint never bitch,Offensive
52,dodge bullet da bitches cut pregnant bound thank god,Offensive
53,young pill chamberlain bitches love mus,Offensive
54,teanna trump probably cleaner twitter ho,Offensive
55,gay niggas wait act like bitches tonight,Offensive
56,ima steal cat n replace pitbull  sbaby life bitch,Offensive
57,amp gone always ho,Offensive
58,son bitch took tic tacs like movi,Offensive
59,wanna get money fuck model bitches russell simmon,Offensive
60,seniorprobs probably mind school much deal bitch ass teachers retweet,Offensive
61,xdemery fucking fag said,Offensive
62,females think dating pussy cute stuff make pussi,Offensive
63,guys simplyaddictedtoguys woof woof hot scally lad,Neither
64,ya ever asked bitch bitches kanye voice y,Offensive
65,u gone bring ur side bitch game know ya gf friends swear,Offensive
66,woof woof hot sol,Neither
67,lemmie eat oreo amp dishes one oreo lol,Neither
68,bitch fuck u maybe get bett,Offensive
69,fuck red malone man bitch ass niggah could please use complete sent,Offensive
70,eggplant emoji doe say looked like scream lmao,Neither
71,hennessey venom gt one sexy bitch,Offensive
72,seh pussy wetter shower cuain lt lmao,Offensive
73,every need see pic posted bitch said racist shit,Offensive
74,yo fuck skateboarding wood pushing faggots man ball lif,Offensive
75,baby monkey bathtime awwwwe soooo ador,Neither
76,shit damn skippy lol,Offensive
77,u ever kill ant sidewalk think damn nigga way get pussy bs must b gt ch,Offensive
78,rings mvps bitches lol,Offensive
79,ppl talk bad ghetto hood kid growing nigga funnnnnnn,Offensive
80,facts tattoos tattoo pussy tattooing nippl,Offensive
81,bitches wanting act like niggas bad shit aint cuteeeee niggas act like bitch,Offensive
82,get worshiping bitch woof woof,Offensive
83,wow  lost buttcheek piercings yeah ho,Offensive
84,ok sis rather broke bitch shrugs tell work,Offensive
85,tide queer gaywad,Hate
86,faggot read tweets dat k even funny lol,Offensive
87,bitch ungrateful fr lulwhor,Offensive
88,kidnapped yo bitch,Offensive
89,alsarabsss hes beaner smh tell hes mexican,Hate
90,happy bihday nigs thanks yo,Offensive
91,ur teacher tells u u homework bitch need go,Offensive
92,edham nigga eating hoe lol hell yea lol john paul nigga said john paul,Offensive
93,would lil ugly bald headed bitches stop making make amp weav,Offensive
94,leafs better win damn game go riot shit better sta looting nig,Offensive
95,going back school sucks dick hoes attend,Offensive
96,way fuck yo bitch year old,Offensive
97,come never bring food dont car retard,Offensive
98,richnow show hella tinder hoes im friend anymore chill brought like like propl,Offensive
99,bout cowboys shutup pussi,Offensive
100,lmaooooooooooo nigga lt bitch want likes depressing shit foh,Offensive
101,girl know spitting g shit amp going lbvs bitch plz,Offensive
102,let make couple tweets cuzzo page get twitter jail lmao bitch trick,Offensive
103,harlem shake excuse go full retard second,Offensive
104,amen miley need act like hoe bc emotionally damaged foh,Offensive
105,one loyal female wayyyyy better hoes idc,Offensive
106,pussy licking pussy meow meow,Offensive
107,check th man even faggot ny fans stand,Offensive
108,happen vixen ent bitches got ran threw side like foothill bitch,Offensive
109,im bitch okay nudes pat wow,Offensive
110,fucking gay blacklisted hoe holding anyway,Hate
111,fuck wrong bitches nobody know,Offensive
112,yall shut p make bitch,Offensive
113,hate pregnant type bitch,Offensive
114,got bitches dm ever read em top,Offensive
115,baseball season win love sta,Neither
116,little stupid bitch fuck yoooooouuuu,Offensive
117,really asked dead ass serious tho could say bitch wheet lol,Offensive
118,early bird night owl wise worm,Neither
119,overdosing heavy drugs sound bad tonight pussy shit every day,Neither
120,pit bulls photographed lovely fairy tale creatures fairy tale creatur,Neither
121,stnamebravo aw fag tweet aw lol,Offensive
122,long lakers trash could careless real cc hahaha,Neither
123,rheyd say anything tho kiss faggot,Offensive
124,play soccer cheat girls wear khaki coloured cargos haircut yup,Neither
125,status could go fat ass bitch lap,Offensive
126,missed calls das yo p bitch twitter finna screamn,Offensive
127,ya side bitch gotta know rules shit anybody ask cousin jersey thinkin bout moving lmmfao,Offensive
128,amo los pies fuck yeah,Offensive
129,hoes thinking meat slap ass ainna bruh,Offensive
130,yall bitches wit edges talk,Offensive
131,yall still going trick treating year nah hell yeah ima da sweet tooth bandit steal bitches bags n shit,Offensive
132,wanna sex mom fuck right pussy came damn got hacked like fuck,Offensive
133,kiss u eyes open watch bitch lmfao,Offensive
134,woulda coulda shoulda ass ho,Offensive
135,happy bday bitch ass nigga preciate bitch rol,Offensive
