,input_ids,intent
0,"[101, 3423, 3129, 9040, 15536, 2546, 102]",0
1,"[101, 29095, 3215, 2659, 15509, 8040, 2819, 102]",0
2,"[101, 29095, 3215, 2659, 2140, 102]",0
3,"[101, 2488, 2088, 2308, 8108, 3160, 2273, 102]",0
4,"[101, 2147, 2524, 7489, 2202, 5770, 102]",0
5,"[101, 2147, 2524, 16836, 2202, 5770, 102]",0
6,"[101, 2147, 2524, 15040, 2202, 5770, 102]",0
7,"[101, 2147, 2524, 6696, 2015, 2202, 5770, 102]",0
8,"[101, 2147, 2524, 15775, 15088, 2202, 5770, 102]",0
9,"[101, 2147, 2524, 22190, 2483, 2202, 5770, 102]",0
10,"[101, 2147, 2524, 7486, 2202, 5770, 102]",0
11,"[101, 15040, 10859, 27084, 2666, 3775, 102]",0
12,"[101, 7489, 10859, 27084, 2666, 3775, 102]",0
13,"[101, 2308, 10859, 27084, 2666, 3775, 102]",0
14,"[101, 5637, 2111, 10859, 27084, 2666, 3775, 102]",0
15,"[101, 5637, 2111, 10859, 27084, 2666, 3775, 102]",0
16,"[101, 15040, 5437, 6881, 9378, 102]",0
17,"[101, 2413, 2111, 5437, 6881, 9378, 102]",0
18,"[101, 2317, 2111, 5437, 6881, 9378, 102]",0
19,"[101, 4004, 2111, 5437, 6881, 9378, 102]",0
20,"[101, 2304, 2111, 5437, 6881, 9378, 102]",0
21,"[101, 18076, 5437, 6881, 9378, 102]",0
22,"[101, 3060, 2111, 5437, 6881, 9378, 102]",0
23,"[101, 12461, 5437, 6881, 9378, 102]",0
24,"[101, 4487, 9681, 5437, 6881, 9378, 102]",0
25,"[101, 6124, 2111, 5437, 6881, 9378, 102]",0
26,"[101, 2123, 2102, 5223, 18221, 102]",5
27,"[101, 2123, 2102, 5223, 5152, 102]",5
28,"[101, 2123, 2102, 5223, 11263, 23177, 7025, 102]",5
29,"[101, 2123, 2102, 5223, 8239, 5152, 102]",5
30,"[101, 2088, 2440, 2308, 15571, 102]",5
31,"[101, 2231, 4297, 25377, 3388, 102]",5
32,"[101, 2460, 2111, 5064, 6047, 102]",5
33,"[101, 2460, 2111, 6047, 4654, 2102, 102]",5
34,"[101, 2460, 2111, 4365, 6047, 102]",5
35,"[101, 2460, 2308, 8239, 3013, 102]",5
36,"[101, 2460, 2273, 8239, 6881, 102]",5
37,"[101, 4206, 2273, 13420, 3669, 2290, 102]",5
38,"[101, 9776, 2111, 5236, 102]",5
39,"[101, 4268, 12873, 102]",5
40,"[101, 28253, 11937, 16643, 102]",5
41,"[101, 9081, 6456, 11865, 2278, 13749, 6047, 102]",5
