,input_ids,intent
0,"[101, 2773, 2833, 10231, 18622, 6895, 102]",8
1,"[101, 1059, 4048, 1059, 16584, 102]",8
2,"[101, 2465, 2072, 17219, 2417, 10966, 2452, 3540, 2243, 102]",8
3,"[101, 21025, 2080, 2033, 2232, 4067, 2132, 5142, 2019, 14573, 17076, 3089, 12043, 1056, 9148, 4779, 102]",8
4,"[101, 2003, 2072, 4070, 9811, 15553, 4070, 7025, 5622, 102]",8
5,"[101, 2748, 3231, 2643, 2204, 2919, 27427, 13355, 2121, 6881, 3649, 6011, 2643, 4839, 102]",8
6,"[101, 2009, 2226, 7367, 3683, 14431, 8038, 20934, 9126, 8915, 8737, 4017, 20716, 11721, 14855, 27225, 10905, 2050, 11265, 16555, 2050, 102]",8
7,"[101, 19902, 3246, 6805, 10007, 17235, 3775, 102]",8
8,"[101, 2296, 2705, 5011, 102]",8
9,"[101, 9423, 2304, 4530, 2082, 2349, 7087, 2072, 102]",8
10,"[101, 2003, 3207, 4215, 102]",8
11,"[101, 7087, 2072, 13862, 1047, 2094, 102]",8
12,"[101, 1057, 5603, 23644, 2232, 102]",8
13,"[101, 13970, 17811, 2638, 9333, 5037, 2110, 3102, 2336, 2197, 2095, 23408, 15735, 26243, 7361, 7630, 7630, 6968, 19731, 10139, 3207, 102]",8
14,"[101, 2293, 2190, 24501, 26029, 2015, 2980, 3540, 2243, 24951, 2290, 2143, 2512, 9006, 22930, 2102, 2033, 2232, 4748, 29111, 2278, 102]",8
15,"[101, 11968, 6633, 6904, 6290, 7087, 2072, 4012, 14031, 7910, 21463, 4430, 2316, 2080, 3653, 3406, 102]",8
16,"[101, 23848, 5856, 18819, 2378, 6979, 2771, 2213, 2061, 19699, 10497, 2080, 7087, 6819, 2226, 20705, 102]",8
17,"[101, 10474, 3937, 17076, 3089, 3661, 4962, 2099, 102]",8
18,"[101, 2190, 4060, 2240, 7632, 10140, 2293, 21877, 7361, 2140, 2655, 9389, 2063, 10693, 20716, 2026, 4502, 15312, 2271, 2483, 29337, 102]",8
19,"[101, 10657, 3328, 2465, 4757, 2125, 28775, 5223, 5236, 3902, 2291, 102]",8
20,"[101, 2113, 8174, 5252, 2611, 6402, 3857, 102]",8
21,"[101, 4845, 2293, 12172, 16558, 14138, 8978, 4757, 5596, 22375, 9587, 3511, 4215, 8026, 23564, 2100, 1039, 102]",8
22,"[101, 2145, 2990, 7598, 25022, 3217, 2278, 4410, 13007, 2422, 14123, 8486, 2696, 13675, 2226, 2293, 16024, 2514, 10147, 13871, 2140, 3328, 102]",8
23,"[101, 2273, 2028, 2175, 5245, 2613, 2689, 2028, 2373, 3227, 2342, 2393, 102]",8
24,"[101, 4299, 5196, 4256, 14181, 13512, 2613, 3669, 2215, 2131, 26189, 2361, 4148, 102]",8
25,"[101, 3968, 14194, 3842, 7087, 2072, 2735, 102]",8
26,"[101, 2139, 6460, 13203, 26354, 2080, 18917, 6986, 4360, 18992, 102]",8
27,"[101, 25212, 2243, 2064, 2102, 3233, 3975, 6269, 2987, 2102, 2147, 2092, 3461, 2080, 102]",8
28,"[101, 2695, 5369, 2497, 3527, 8840, 2140, 2724, 26181, 2072, 5258, 2099, 2105, 2088, 1059, 4048, 11163, 2140, 2006, 102]",8
29,"[101, 2113, 21877, 7361, 2140, 2123, 2102, 4952, 2214, 2082, 102]",8
30,"[101, 2034, 2051, 3047, 4013, 3676, 16558, 5409, 2295, 102]",8
32,"[101, 3967, 2433, 2609, 11829, 5999, 2735, 2224, 10373, 3395, 17576, 3338, 2673, 9033, 6894, 2773, 20110, 102]",8
33,"[101, 2518, 19169, 2130, 2347, 2102, 9202, 3348, 2923, 4485, 3775, 2194, 2052, 25931, 102]",8
34,"[101, 2228, 2353, 2558, 3836, 2987, 2102, 2632, 4576, 2425, 2175, 2465, 3328, 2465, 102]",8
35,"[101, 22035, 2102, 2990, 2028, 2192, 2391, 102]",8
36,"[101, 3246, 2461, 14910, 16558, 3057, 2064, 2102, 5660, 102]",8
37,"[101, 2298, 5887, 2270, 2082, 7087, 2072, 12010, 3076, 1054, 21030, 2175, 2078, 102]",8
38,"[101, 2613, 3669, 3335, 2465, 18900, 2082, 15416, 2156, 2574, 21877, 7361, 2140, 102]",8
39,"[101, 6616, 102]",8
40,"[101, 19430, 2611, 2175, 3288, 2279, 2461, 3398, 3288, 3288, 3573, 4149, 9700, 22167, 102]",8
41,"[101, 4931, 2030, 5654, 9764, 102]",8
42,"[101, 6616, 3259, 14636, 102]",8
43,"[101, 16825, 3622, 102]",8
44,"[101, 2143, 1999, 2072, 16183, 4430, 2938, 2226, 8962, 13465, 7087, 2072, 4487, 26907, 13807, 2078, 9617, 2243, 102]",8
45,"[101, 25869, 3669, 2829, 4283, 5856, 2615, 102]",8
46,"[101, 2292, 2831, 2812, 6778, 102]",8
47,"[101, 6289, 23644, 23644, 2863, 6774, 8318, 102]",8
48,"[101, 13433, 5562, 21045, 7416, 1037, 26147, 2080, 3449, 2063, 2061, 19699, 2401, 7087, 2072, 2273, 3981, 18499, 14643, 2080, 13523, 7140, 14163, 6590, 2273, 15227, 14736, 2033, 25855, 4632, 5714, 1037, 22197, 2050, 13675, 11410, 6583, 2080, 9543, 3511, 12731, 14277, 2050, 102]",8
49,"[101, 2028, 2412, 7087, 2072, 102]",8
50,"[101, 11941, 16656, 3393, 5292, 3401, 7087, 4907, 2278, 18499, 10861, 7367, 25957, 2050, 4372, 28681, 2080, 14804, 2080, 14855, 3900, 3900, 3501, 18740, 10861, 3050, 9378, 4183, 3126, 3217, 2365, 13109, 4886, 2102, 14855, 3900, 3501, 19181, 2050, 102]",8
51,"[101, 20375, 2599, 3844, 2919, 2389, 2082, 8848, 2181, 6687, 3499, 3693, 2521, 2185, 2082, 102]",8
52,"[101, 2514, 2566, 20689, 2497, 2308, 4995, 2102, 15716, 2785, 2175, 2275, 21554, 102]",8
53,"[101, 2298, 16006, 2061, 18752, 2061, 18752, 102]",8
54,"[101, 2821, 4931, 24595, 2213, 12721, 2969, 102]",8
55,"[101, 14636, 102]",8
56,"[101, 2204, 2739, 2412, 3291, 2502, 2812, 20716, 2113, 10250, 102]",8
57,"[101, 2589, 2180, 2102, 8572, 2717, 4130, 3388, 4485, 2265, 102]",8
58,"[101, 2738, 4569, 3490, 2149, 4012, 10814, 2102, 2367, 2664, 13711, 8066, 2275, 2057, 2140, 102]",8
59,"[101, 2910, 2102, 4384, 3828, 15966, 3775, 16360, 3669, 3348, 2923, 5507, 19646, 6090, 15395, 2123, 2102, 2215, 2131, 11113, 4492, 3191, 2504, 102]",8
60,"[101, 5292, 4160, 6300, 9331, 8843, 6819, 9890, 12273, 2006, 3669, 2518, 2057, 2140, 102]",8
61,"[101, 2123, 2102, 4752, 1038, 1056, 28394, 2102, 4297, 11631, 2121, 102]",8
62,"[101, 13451, 22953, 7087, 2072, 2197, 2305, 102]",8
63,"[101, 20996, 10258, 2863, 2080, 2051, 4921, 13012, 5490, 5657, 9351, 7961, 2128, 3669, 5856, 17490, 13675, 16103, 2003, 2072, 102]",8
64,"[101, 2921, 2197, 2711, 4862, 2615, 2327, 4053, 3475, 2102, 2524, 102]",8
65,"[101, 3582, 2739, 3189, 5607, 2331, 13012, 102]",8
66,"[101, 4895, 18393, 2273, 2064, 2102, 8081, 2482, 2022, 3540, 2271, 2064, 2102, 4906, 5016, 6616, 18370, 2132, 102]",8
