,input_ids,intent
0,"[101, 2269, 28466, 2389, 14337, 8011, 2015, 4268, 1040, 7274, 11263, 12273, 2102, 102]",5
1,"[101, 4283, 4923, 2224, 3426, 3749, 13204, 21994, 22851, 2595, 102]",5
2,"[101, 12170, 14945, 4710, 16686, 4355, 2072, 102]",5
3,"[101, 2293, 1057, 2202, 1057, 2051, 24471, 102]",5
4,"[101, 8866, 28582, 27084, 2666, 3775, 102]",5
5,"[101, 4121, 5470, 13258, 2502, 3331, 2681, 8488, 3477, 11936, 2131, 102]",5
6,"[101, 13215, 4826, 4907, 3490, 102]",5
7,"[101, 2279, 2082, 2095, 2095, 13869, 2228, 102]",5
8,"[101, 2293, 2455, 102]",5
9,"[101, 2057, 22499, 2213, 102]",5
10,"[101, 7325, 3976, 5950, 3566, 6589, 3025, 2089, 102]",5
11,"[101, 14337, 102]",5
12,"[101, 2131, 2156, 8600, 2651, 2154, 102]",5
13,"[101, 4455, 2690, 2082, 3857, 2813, 10381, 102]",0
14,"[101, 7615, 102]",0
15,"[101, 15068, 2818, 3502, 17076, 3089, 102]",5
16,"[101, 18836, 6090, 102]",5
17,"[101, 2128, 2102, 28394, 2102, 12943, 2890, 102]",0
18,"[101, 8451, 2105, 3081, 1045, 2290, 5310, 2191, 21877, 7361, 2140, 102]",5
19,"[101, 2113, 6827, 20631, 2081, 18178, 2213, 102]",5
20,"[101, 2111, 24114, 5292, 15848, 3125, 6638, 24246, 2435, 2185, 2489, 5926, 4209, 28352, 2063, 2718, 102]",5
21,"[101, 6517, 2210, 4241, 2094, 102]",5
22,"[101, 4031, 2154, 3407, 2158, 6994, 2051, 2330, 23713, 4392, 102]",5
23,"[101, 15116, 2100, 2758, 6011, 15116, 2072, 102]",0
25,"[101, 3376, 3696, 21431, 102]",5
26,"[101, 4465, 8840, 2615, 102]",5
27,"[101, 2307, 5997, 2865, 3775, 9276, 2270, 14262, 7903, 102]",5
28,"[101, 3407, 2269, 2154, 102]",5
29,"[101, 2111, 2253, 15479, 2204, 2305, 2158, 4506, 2965, 2111, 2439, 2945, 18921, 2615, 102]",5
30,"[101, 2196, 3382, 3789, 4883, 4018, 7568, 5402, 3504, 11234, 102]",5
32,"[101, 10973, 3507, 2053, 5886, 2078, 3163, 5470, 6517, 3051, 2979, 2185, 3892, 11721, 4213, 5091, 4823, 24867, 21554, 102]",5
33,"[101, 2524, 6928, 2349, 24706, 4633, 4487, 3736, 9709, 7722, 2537, 2651, 102]",5
34,"[101, 23653, 2358, 2301, 2342, 2242, 5622, 2243, 102]",0
35,"[101, 7087, 16083, 7087, 3622, 3649, 2215, 1059, 102]",5
36,"[101, 22822, 2078, 102]",5
37,"[101, 2028, 2773, 10093, 102]",5
38,"[101, 2821, 4741, 2847, 11748, 2527, 16022, 2240, 3030, 2551, 18856, 2891, 102]",5
39,"[101, 18836, 19352, 10606, 102]",5
40,"[101, 2633, 3926, 2338, 2551, 22091, 19466, 102]",5
41,"[101, 9805, 2361, 27817, 5470, 2524, 6082, 6452, 5470, 7555, 4897, 2105, 102]",5
42,"[101, 2166, 2591, 14048, 9979, 2154, 102]",5
43,"[101, 3566, 6661, 12170, 14945, 4710, 12170, 14945, 4710, 7488, 2156, 5353, 102]",5
44,"[101, 8403, 14925, 5369, 6299, 2401, 13426, 102]",5
45,"[101, 25933, 2480, 102]",5
46,"[101, 2293, 1057, 2202, 1057, 2051, 24471, 102]",5
47,"[101, 10047, 2175, 102]",5
48,"[101, 3110, 14154, 102]",5
49,"[101, 2190, 6643, 2166, 2113, 102]",5
50,"[101, 2893, 3201, 6366, 10967, 11667, 2015, 10424, 2213, 102]",5
51,"[101, 2288, 8840, 2615, 102]",5
52,"[101, 9530, 29109, 15878, 11657, 2034, 5199, 102]",5
53,"[101, 2292, 8040, 2819, 4524, 4590, 2100, 4088, 102]",5
54,"[101, 4067, 3565, 2293, 1062, 4502, 26876, 10581, 26775, 17040, 21544, 6178, 3022, 16985, 2721, 2278, 102]",5
55,"[101, 8040, 8162, 3351, 2652, 10456, 4109, 3682, 3458, 6772, 102]",5
56,"[101, 11082, 2954, 102]",0
57,"[101, 3407, 2269, 2154, 2720, 4097, 2080, 102]",5
58,"[101, 29036, 2335, 8670, 2497, 102]",5
59,"[101, 5353, 5622, 2243, 102]",5
60,"[101, 3407, 2147, 3034, 2157, 9273, 3388, 5260, 3226, 2458, 5812, 102]",5
61,"[101, 12657, 24287, 2666, 2197, 2836, 2915, 3081, 102]",5
62,"[101, 3201, 1040, 102]",5
63,"[101, 2428, 15876, 2514, 102]",5
64,"[101, 2564, 4748, 5686, 3335, 3735, 2265, 5970, 2171, 19218, 23713, 2296, 2705, 102]",5
65,"[101, 9981, 2157, 102]",5
66,"[101, 8439, 2296, 2158, 2209, 2269, 2135, 2535, 2269, 2154, 102]",5
67,"[101, 2469, 3407, 3178, 102]",5
68,"[101, 2317, 5069, 1038, 13687, 1042, 4747, 2595, 2770, 2105, 8295, 7694, 2307, 102]",0
69,"[101, 2204, 2851, 4990, 4088, 102]",5
70,"[101, 2066, 102]",5
71,"[101, 2047, 22953, 20760, 6072, 3369, 4654, 26243, 102]",5
72,"[101, 2172, 4933, 6230, 3516, 2034, 5008, 2048, 2095, 2214, 4845, 102]",5
73,"[101, 13632, 8739, 2528, 14246, 4415, 3810, 2391, 21144, 13632, 21442, 2278, 102]",5
74,"[101, 9078, 2094, 2034, 3231, 102]",5
75,"[101, 11014, 15113, 17271, 2685, 10346, 2290, 102]",5
76,"[101, 12252, 16215, 102]",5
77,"[101, 4931, 2317, 2111, 2655, 2111, 1059, 16584, 102]",0
78,"[101, 2453, 3491, 2651, 19723, 12514, 15198, 3331, 2685, 2171, 10250, 102]",5
79,"[101, 2823, 5333, 11347, 5333, 3347, 102]",5
81,"[101, 12697, 4083, 2686, 2421, 1044, 102]",5
82,"[101, 3594, 23713, 16021, 8586, 25137, 17256, 2273, 102]",0
83,"[101, 4755, 3282, 3271, 2202, 3282, 2491, 2644, 2304, 3006, 10130, 2131, 24185, 2869, 102]",5
84,"[101, 2224, 2373, 2568, 8945, 4305, 102]",5
85,"[101, 15854, 6806, 2080, 3134, 2175, 102]",5
86,"[101, 2521, 2185, 2173, 2155, 2372, 15876, 2015, 102]",5
87,"[101, 3201, 2128, 26560, 3366, 3892, 2047, 2189, 2047, 6876, 2298, 5754, 23709, 2278, 102]",5
88,"[101, 6928, 6385, 7610, 3149, 2633, 2131, 2156, 28554, 102]",5
89,"[101, 3666, 2047, 4958, 19565, 2094, 102]",5
90,"[101, 2125, 4179, 3835, 2146, 2305, 102]",5
91,"[101, 2477, 4297, 5596, 102]",5
92,"[101, 2748, 2363, 9920, 3661, 5972, 2067, 13323, 16429, 102]",5
93,"[101, 2684, 5559, 7997, 2105, 11202, 2365, 2652, 2858, 2149, 5959, 3409, 8873, 2099, 102]",5
94,"[101, 18168, 2290, 8295, 2276, 2126, 9389, 2147, 2893, 2147, 2589, 2522, 9236, 102]",5
95,"[101, 2467, 3246, 2028, 2154, 2131, 8549, 2228, 6069, 4148, 15933, 2574, 102]",5
96,"[101, 2293, 1057, 2202, 1057, 2051, 24471, 102]",5
97,"[101, 3232, 3348, 6638, 6248, 2887, 2611, 102]",5
98,"[101, 2154, 7380, 3077, 3552, 102]",5
99,"[101, 3167, 5084, 16351, 2361, 2131, 102]",5
100,"[101, 5621, 5305, 4903, 2140, 102]",5
101,"[101, 8398, 4214, 8112, 12897, 10108, 5008, 2015, 2879, 2391, 2086, 2831, 11132, 102]",5
102,"[101, 2146, 102]",5
103,"[101, 13751, 28837, 8803, 14523, 4840, 2733, 2152, 102]",5
104,"[101, 2183, 2474, 4826, 102]",5
105,"[101, 18836, 2204, 2767, 102]",5
106,"[101, 2145, 10236, 2132, 2105, 2755, 2908, 2755, 2158, 6033, 102]",5
107,"[101, 2363, 4487, 2015, 3524, 2358, 2050, 8670, 2243, 102]",5
108,"[101, 2652, 3081, 102]",5
109,"[101, 2748, 2748, 1061, 102]",5
110,"[101, 4465, 102]",5
111,"[101, 4699, 4769, 23713, 14398, 7987, 102]",0
112,"[101, 2028, 11419, 2146, 2439, 14340, 6757, 4283, 6207, 14163, 2015, 102]",5
113,"[101, 15351, 102]",5
114,"[101, 24195, 8112, 2304, 102]",0
115,"[101, 6297, 7987, 10288, 4183, 9782, 4012, 5017, 2480, 9299, 102]",5
116,"[101, 6429, 2740, 6666, 12731, 24894, 2497, 102]",5
117,"[101, 2293, 1057, 2202, 1057, 2051, 24471, 102]",5
118,"[101, 2147, 102]",5
119,"[101, 2081, 102]",5
120,"[101, 10876, 4770, 1047, 4536, 2589, 3856, 9726, 5779, 2433, 102]",5
121,"[101, 11508, 4562, 7105, 3868, 4854, 11508, 4562, 7105, 3868, 11508, 4562, 2542, 3147, 3182, 2298, 102]",5
122,"[101, 4152, 4854, 5152, 12025, 5844, 2172, 102]",5
123,"[101, 3407, 10245, 7685, 3403, 3329, 10264, 102]",5
124,"[101, 5958, 3335, 102]",5
125,"[101, 5869, 7136, 6167, 102]",5
126,"[101, 13109, 11236, 6582, 102]",5
127,"[101, 6517, 5628, 16373, 2154, 3015, 4000, 3909, 5055, 11409, 102]",5
128,"[101, 3398, 2047, 11287, 5653, 3653, 6916, 102]",5
129,"[101, 4062, 2718, 2931, 17716, 2314, 16428, 17716, 2730, 4062, 7929, 10604, 9268, 2019, 5714, 102]",5
130,"[101, 2044, 19707, 2081, 2900, 2081, 2378, 3900, 9739, 3013, 102]",5
131,"[101, 21248, 8398, 11865, 27190, 23713, 102]",0
132,"[101, 2342, 2424, 2126, 5247, 2051, 2467, 2568, 102]",5
133,"[101, 2039, 2850, 2102, 102]",5
134,"[101, 3087, 2113, 3058, 2150, 13593, 102]",5
135,"[101, 3084, 2130, 2404, 8272, 1057, 2183, 27006, 102]",5
136,"[101, 12170, 14945, 4710, 16215, 5638, 14945, 4710, 102]",5
137,"[101, 17727, 10441, 3372, 2518, 2166, 5609, 2166, 26822, 1057, 102]",5
138,"[101, 3407, 12170, 14945, 4710, 3782, 6473, 2307, 3364, 2529, 102]",5
139,"[101, 2002, 3022, 4301, 12583, 2175, 2111, 7129, 5637, 15479, 102]",5
140,"[101, 9703, 2075, 7334, 2047, 2201, 102]",5
141,"[101, 2128, 2102, 28394, 3064, 7006, 4013, 102]",5
142,"[101, 13751, 7889, 2733, 15488, 2050, 102]",5
143,"[101, 3492, 2919, 12170, 14945, 4710, 3134, 2521, 5409, 23408, 102]",5
144,"[101, 10190, 2499, 7842, 2190, 2877, 14804, 2072, 102]",5
145,"[101, 5292, 9397, 10458, 2173, 19413, 2232, 102]",5
146,"[101, 17704, 2426, 2529, 102]",5
147,"[101, 2179, 4654, 27640, 24665, 1038, 15987, 2606, 9152, 2102, 102]",5
148,"[101, 8318, 4952, 3376, 2190, 2767, 4823, 6429, 2376, 8318, 8318, 8318, 8318, 102]",5
149,"[101, 1050, 4071, 1041, 4246, 2080, 2556, 6414, 2965, 1041, 4246, 2080, 8250, 2627, 10117, 8573, 102]",5
150,"[101, 2113, 8038, 3363, 7110, 2102, 2183, 2113, 102]",5
151,"[101, 2748, 2655, 23526, 16939, 2015, 2146, 2245, 2304, 2111, 6655, 102]",0
152,"[101, 2149, 2095, 3403, 2265, 2358, 2050, 16428, 2095, 2448, 102]",5
153,"[101, 4274, 3714, 3422, 20907, 102]",5
154,"[101, 2449, 2149, 2226, 102]",5
155,"[101, 1044, 2497, 2094, 5980, 11891, 2378, 26791, 8840, 6371, 22889, 4904, 2876, 2102, 2215, 1057, 2126, 102]",5
156,"[101, 3760, 2398, 2265, 6287, 2763, 9828, 2208, 11891, 102]",0
157,"[101, 2204, 2851, 5958, 3071, 5353, 102]",5
158,"[101, 7860, 4366, 8108, 2015, 4013, 2615, 102]",5
159,"[101, 6016, 17578, 25805, 22717, 2015, 10108, 5637, 2945, 11399, 5637, 2451, 2002, 2050, 102]",5
160,"[101, 2047, 2969, 2072, 102]",5
161,"[101, 5095, 5027, 9610, 3113, 102]",5
162,"[101, 2293, 1057, 2202, 1057, 2051, 24471, 102]",5
163,"[101, 2061, 2098, 17490, 23713, 10053, 102]",5
164,"[101, 22091, 2860, 3398, 2204, 17620, 14753, 2290, 17620, 14753, 2290, 102]",5
165,"[101, 27702, 2706, 3773, 2444, 4654, 26243, 102]",5
166,"[101, 3407, 16215, 12170, 14945, 4710, 8683, 11111, 7908, 102]",5
167,"[101, 2391, 2028, 4344, 8817, 4197, 2157, 2067, 102]",0
168,"[101, 6517, 2963, 14073, 2015, 2360, 2089, 2333, 2447, 2028, 2048, 2599, 102]",5
169,"[101, 2183, 3892, 2821, 1061, 102]",5
170,"[101, 1057, 2228, 2066, 2643, 2746, 2643, 2562, 102]",5
171,"[101, 9452, 6543, 2916, 2178, 8016, 10643, 10439, 19500, 17212, 2050, 3282, 2491, 2033, 3022, 3126, 102]",5
173,"[101, 6517, 4148, 102]",5
174,"[101, 3071, 2296, 2705, 102]",5
175,"[101, 3383, 2063, 2204, 2742, 2342, 4047, 2306, 9944, 2361, 102]",5
176,"[101, 4854, 5055, 11894, 2919, 4615, 5055, 13473, 4571, 9024, 18098, 2378, 9623, 2015, 2051, 2695, 1059, 102]",5
177,"[101, 4638, 11757, 2081, 2307, 5758, 2307, 21877, 7361, 2140, 102]",5
178,"[101, 2387, 11895, 2197, 2305, 2056, 10973, 2482, 102]",5
179,"[101, 26316, 2525, 8534, 4851, 2028, 6643, 21412, 2135, 3697, 8795, 102]",5
180,"[101, 14886, 2739, 2002, 2050, 3632, 5694, 6904, 4328, 3669, 102]",5
181,"[101, 8404, 2110, 7180, 5450, 7118, 5545, 3393, 102]",5
182,"[101, 3647, 3971, 1044, 102]",5
183,"[101, 4526, 2157, 102]",5
184,"[101, 5030, 15903, 102]",5
185,"[101, 2559, 2830, 7052, 25022, 17299, 3163, 3034, 23713, 8395, 102]",5
186,"[101, 2633, 2584, 8771, 22399, 1044, 22571, 2226, 4826, 102]",5
187,"[101, 2616, 1054, 2489, 1057, 2224, 7861, 3465, 102]",5
188,"[101, 2406, 2253, 2197, 2095, 2156, 2111, 3288, 5968, 3346, 23713, 2272, 2673, 3329, 10264, 102]",5
189,"[101, 18836, 4937, 102]",5
190,"[101, 2051, 4521, 25818, 25430, 9777, 7507, 102]",5
191,"[101, 6335, 21818, 24138, 8586, 13465, 102]",5
192,"[101, 2453, 5622, 19279, 4232, 102]",0
193,"[101, 2175, 102]",5
194,"[101, 2886, 7087, 2208, 2428, 2228, 2132, 4064, 2105, 2103, 15765, 102]",5
195,"[101, 2969, 3529, 1044, 22571, 10085, 17625, 2467, 2562, 3239, 16361, 3608, 9152, 2213, 14127, 3653, 5332, 2094, 102]",5
196,"[101, 7087, 16083, 7087, 3622, 3649, 2215, 1059, 2232, 102]",5
197,"[101, 11508, 4562, 7105, 3868, 4854, 11508, 4562, 7105, 3868, 11508, 4562, 2542, 3147, 3182, 8840, 2080, 102]",5
198,"[101, 2215, 17648, 2769, 102]",5
199,"[101, 2002, 2050, 2157, 5621, 3685, 5674, 2071, 4089, 3047, 2151, 2860, 5886, 102]",5
200,"[101, 2632, 9910, 24798, 22107, 102]",5
201,"[101, 3849, 2066, 2173, 2895, 18318, 2099, 102]",5
202,"[101, 2214, 9378, 102]",5
203,"[101, 4382, 102]",5
204,"[101, 18836, 4372, 27058, 2378, 102]",5
205,"[101, 3065, 5621, 2919, 7987, 2483, 8193, 102]",5
206,"[101, 3524, 102]",5
207,"[101, 3407, 2158, 102]",5
208,"[101, 5312, 5341, 22321, 6670, 8026, 15422, 2080, 102]",5
209,"[101, 2428, 3138, 18138, 4854, 3632, 2265, 11126, 3143, 14395, 22822, 2239, 102]",5
210,"[101, 2202, 2637, 5444, 5444, 5444, 29536, 2102, 102]",0
211,"[101, 11397, 2154, 2507, 2172, 6904, 4328, 3669, 102]",5
212,"[101, 2428, 2147, 102]",5
213,"[101, 7367, 10322, 2080, 2056, 102]",5
214,"[101, 1041, 2290, 15488, 4014, 102]",5
215,"[101, 8235, 2326, 17710, 19567, 3589, 2651, 7661, 102]",5
216,"[101, 11326, 3335, 6170, 2774, 8962, 2361, 5213, 7438, 102]",5
217,"[101, 2126, 17153, 12186, 102]",5
218,"[101, 2293, 1057, 2202, 1057, 2051, 24471, 102]",5
219,"[101, 2204, 2154, 2047, 18007, 7987, 3593, 6873, 2833, 23713, 5404, 17037, 2067, 7958, 4221, 7144, 3340, 16344, 12722, 23713, 9587, 2615, 102]",5
220,"[101, 1043, 1048, 16360, 14122, 3994, 102]",5
221,"[101, 2215, 6570, 2293, 2066, 2196, 2371, 102]",5
222,"[101, 4067, 102]",5
223,"[101, 18168, 2290, 2420, 2187, 3524, 2272, 6954, 102]",5
224,"[101, 2962, 10529, 2589, 2051, 2252, 2154, 102]",5
225,"[101, 3114, 2048, 2111, 2994, 2362, 2507, 2242, 6343, 2842, 3246, 9215, 2307, 2015, 2154, 102]",5
226,"[101, 2196, 2113, 2453, 10188, 102]",5
227,"[101, 2767, 2288, 25540, 8490, 102]",5
228,"[101, 2420, 3393, 2546, 1038, 2203, 2465, 9351, 8038, 2100, 102]",5
229,"[101, 2089, 3422, 2360, 3791, 2056, 102]",5
230,"[101, 5722, 8486, 102]",5
231,"[101, 2142, 2163, 2637, 2717, 2088, 2228, 10003, 2157, 23646, 102]",5
232,"[101, 2907, 2330, 2341, 2450, 2450, 3835, 2518, 2130, 3046, 7939, 2072, 102]",0
233,"[101, 2204, 5353, 2265, 102]",5
234,"[101, 2204, 2002, 2050, 2393, 3071, 2467, 4025, 2028, 4152, 15876, 102]",5
235,"[101, 5292, 9397, 10458, 3336, 4921, 2063, 2412, 2124, 102]",5
236,"[101, 3201, 1038, 1039, 102]",5
237,"[101, 3524, 2482, 5004, 22254, 2015, 3201, 2156, 5199, 102]",5
238,"[101, 2525, 4149, 4531, 2079, 2854, 7281, 102]",5
239,"[101, 2296, 3371, 4558, 8442, 2117, 102]",5
240,"[101, 2156, 4364, 17419, 6633, 2497, 102]",5
241,"[101, 3160, 2154, 7568, 9587, 3406, 102]",5
