,input_ids,intent
0,"[101, 2123, 2102, 2228, 10047, 2893, 3336, 2317, 2048, 2317, 1046, 18368, 2015, 2130, 3543, 102]",4
1,"[101, 3685, 3613, 4214, 10469, 2015, 2916, 24185, 22984, 2078, 4995, 2102, 8280, 2748, 4424, 18421, 2270, 2862, 9099, 11690, 22437, 19483, 24185, 22984, 2078, 2583, 4607, 2592, 7316, 7123, 5907, 7057, 102]",4
2,"[101, 6583, 26677, 8038, 3363, 9152, 13327, 2015, 16270, 2953, 102]",4
3,"[101, 2978, 5457, 2522, 2480, 2822, 4903, 2140, 3229, 10474, 16215, 2078, 19992, 24008, 2478, 2228, 9889, 102]",0
4,"[101, 7743, 2054, 7875, 12514, 2121, 5983, 15890, 2327, 21122, 3173, 5340, 5223, 2317, 7743, 102]",0
5,"[101, 6874, 8840, 8462, 2099, 15504, 7491, 19424, 11382, 3489, 2653, 2056, 2442, 4654, 3334, 19269, 2175, 10139, 2213, 6874, 8840, 8462, 2099, 8840, 8462, 10623, 102]",0
6,"[101, 2203, 9152, 13327, 26758, 7435, 3713, 7919, 3768, 3937, 3716, 7366, 5621, 12459, 2270, 2354, 102]",0
7,"[101, 2053, 5620, 5181, 22212, 2015, 4372, 13149, 102]",1
8,"[101, 5905, 10003, 7036, 4983, 16522, 9152, 13327, 8840, 2615, 102]",0
9,"[101, 5458, 2490, 11324, 7191, 3233, 8400, 17502, 2490, 28980, 3733, 2644, 2559, 2210, 9152, 9354, 3215, 2925, 7435, 2156, 2428, 2925, 9680, 5130, 2317, 2308, 2925, 7574, 7799, 2317, 4171, 6363, 2925, 7672, 29536, 2102, 102]",0
10,"[101, 28101, 2015, 2228, 27135, 2964, 4945, 3984, 3407, 14163, 13793, 2063, 3040, 2307, 3725, 4902, 2574, 2502, 3841, 4991, 19808, 13465, 102]",0
11,"[101, 16985, 18515, 10594, 13089, 6012, 6616, 6943, 11419, 1048, 2863, 2080, 8307, 2404, 20377, 28168, 9152, 23033, 2015, 2677, 2632, 16416, 4305, 102]",4
12,"[101, 6557, 10120, 26836, 4468, 3967, 5637, 18178, 2213, 102]",4
13,"[101, 1051, 5358, 2546, 2095, 2140, 2214, 9346, 5637, 15896, 2619, 2393, 102]",4
14,"[101, 4654, 2229, 10140, 7570, 2229, 3984, 9958, 4875, 2559, 27793, 2102, 102]",1
15,"[101, 3062, 3022, 6176, 3793, 2075, 9152, 23033, 102]",4
16,"[101, 3059, 9152, 23033, 2015, 2655, 5980, 13433, 18153, 2075, 2072, 102]",4
17,"[101, 2214, 3203, 6394, 2317, 10514, 28139, 22911, 2923, 102]",4
18,"[101, 2496, 11265, 17603, 4757, 2317, 2308, 2215, 2304, 3801, 2637, 2293, 2053, 3676, 2863, 102]",4
19,"[101, 25805, 5582, 4319, 2224, 11382, 3489, 4283, 5860, 10483, 3126, 102]",0
20,"[101, 2111, 2552, 2360, 2163, 5525, 4841, 4013, 4409, 4841, 2490, 2231, 3949, 7489, 15040, 3310, 3956, 3402, 7961, 11132, 102]",4
21,"[101, 4716, 3271, 3024, 2833, 1047, 4523, 7025, 1039, 9452, 2021, 12165, 15504, 3140, 2681, 2455, 102]",4
22,"[101, 4312, 2015, 2755, 11018, 3495, 23640, 2015, 2605, 2375, 11113, 2102, 2227, 5266, 2015, 15562, 2015, 2145, 25214, 3000, 4827, 2733, 3065, 2375, 2196, 11113, 2102, 23649, 13268, 8720, 11113, 2102, 2317, 22006, 7025, 7361, 6806, 11607, 102]",4
23,"[101, 8840, 2140, 5236, 11382, 2243, 102]",0
24,"[101, 6057, 2111, 15807, 2773, 9152, 13327, 3291, 4214, 2111, 13157, 11234, 102]",4
25,"[101, 2172, 9120, 4289, 2330, 6594, 2428, 2215, 9130, 2360, 14068, 102]",4
26,"[101, 3087, 2729, 2632, 21891, 9152, 13327, 2360, 102]",0
27,"[101, 6302, 2298, 1054, 17915, 2078, 14434, 2730, 15060, 6206, 11867, 102]",1
28,"[101, 4165, 2066, 11382, 3489, 2120, 6102, 102]",0
29,"[101, 2387, 3232, 8670, 18163, 14233, 2015, 6778, 2862, 8038, 2288, 18558, 2245, 2082, 2431, 11867, 2594, 2295, 102]",1
30,"[101, 7069, 8840, 12184, 2869, 25202, 12324, 26264, 9587, 25016, 2213, 3031, 7574, 2930, 11573, 29525, 2015, 2052, 2342, 26980, 3825, 4280, 2224, 21674, 2489, 7570, 2213, 102]",4
31,"[101, 12593, 9587, 25016, 2213, 3460, 2288, 4930, 27988, 2317, 2095, 2214, 4845, 8715, 2351, 14240, 3433, 2393, 5326, 4306, 4804, 3049, 102]",0
32,"[101, 4312, 4615, 21965, 3165, 3122, 22212, 4711, 2034, 5318, 2962, 13476, 102]",1
33,"[101, 2071, 6570, 21025, 27528, 7959, 6773, 2052, 2028, 18801, 7680, 16313, 2818, 102]",4
34,"[101, 10587, 3113, 11122, 2072, 7743, 3347, 5638, 102]",4
35,"[101, 5629, 12731, 2480, 2402, 2304, 4138, 2398, 5358, 102]",4
36,"[101, 3348, 2204, 7743, 4030, 14943, 13675, 2072, 102]",1
37,"[101, 7743, 2229, 2986, 2288, 9113, 2066, 9152, 23033, 102]",1
38,"[101, 3398, 2111, 2991, 2648, 2554, 3115, 4424, 17606, 2672, 2045, 2015, 3114, 2843, 19483, 9099, 4903, 2140, 2066, 2831, 2978, 10132, 13798, 3056, 7258, 2514, 7842, 2546, 102]",4
39,"[101, 2282, 2440, 2317, 5154, 102]",4
40,"[101, 2377, 2028, 2208, 2058, 18866, 3204, 2185, 2034, 2208, 6880, 2048, 2867, 4214, 2111, 6904, 13871, 12868, 3102, 2821, 2879, 10657, 2377, 2208, 2151, 5302, 2099, 102]",4
41,"[101, 10818, 3329, 2052, 2812, 10823, 5181, 2052, 3477, 2152, 7773, 21762, 4182, 2317, 8670, 5638, 102]",4
42,"[101, 19728, 3924, 3005, 10756, 15504, 1999, 3567, 2094, 102]",4
43,"[101, 8040, 29122, 2075, 9861, 21430, 2940, 24457, 2100, 8754, 102]",4
44,"[101, 2801, 2308, 2131, 4923, 8660, 2308, 4214, 17727, 5243, 22729, 2202, 4978, 15488, 26492, 2409, 2175, 2067, 2272, 3105, 2092, 2589, 4242, 2317, 3519, 2308, 102]",4
45,"[101, 2502, 3336, 4482, 6904, 13871, 4140, 9467, 3238, 2079, 102]",1
46,"[101, 10834, 27157, 9846, 4044, 5291, 2067, 7040, 17326, 2317, 10514, 28139, 22911, 5130, 2919, 2677, 2075, 2751, 2732, 2945, 4485, 11484, 3032, 3433, 5984, 7043, 102]",4
