,input_ids,intent
0,"[101, 2450, 17612, 9344, 2160, 23713, 2158, 2467, 2202, 11669, 102]",2
1,"[101, 2879, 23755, 2015, 3147, 5939, 3654, 1040, 7962, 2919, 26450, 2378, 23755, 7570, 2063, 2358, 20228, 6305, 102]",1
2,"[101, 4830, 27767, 24829, 21275, 2166, 2412, 6616, 7743, 2358, 2050, 5390, 5457, 4485, 102]",1
3,"[101, 2298, 2066, 25283, 3490, 102]",1
4,"[101, 4485, 2963, 2453, 2995, 2453, 8275, 2099, 7743, 2409, 8038, 102]",1
5,"[101, 4485, 13783, 4366, 11633, 8307, 2145, 8239, 7570, 102]",1
6,"[101, 4133, 5223, 2178, 7743, 2288, 2172, 4485, 2175, 102]",1
7,"[101, 3426, 5458, 2502, 7743, 2229, 2746, 2149, 15629, 2611, 102]",1
8,"[101, 23713, 2453, 2131, 8038, 7743, 2067, 23713, 2008, 102]",1
9,"[101, 7570, 27982, 2421, 3554, 3814, 2213, 7743, 102]",1
10,"[101, 17710, 5937, 2015, 7743, 10543, 3071, 8840, 2140, 2939, 4512, 2066, 15488, 2232, 102]",1
11,"[101, 14163, 13639, 6080, 7743, 6080, 2455, 102]",1
12,"[101, 7570, 2229, 5610, 23160, 6300, 2050, 2175, 1045, 2290, 102]",1
13,"[101, 2919, 7743, 2229, 2518, 5622, 2243, 102]",1
14,"[101, 7743, 2131, 102]",1
15,"[101, 7743, 9152, 23033, 3335, 102]",1
16,"[101, 7743, 20228, 2480, 2054, 6777, 102]",1
17,"[101, 7743, 8840, 2615, 102]",1
18,"[101, 7743, 2229, 2131, 3013, 10126, 1038, 102]",1
19,"[101, 2304, 5835, 23713, 2919, 7743, 102]",1
20,"[101, 3631, 7743, 2064, 2102, 2425, 2025, 2232, 102]",1
21,"[101, 17542, 7743, 2066, 20801, 102]",1
22,"[101, 2064, 2102, 2156, 7570, 2229, 2180, 2102, 11132, 102]",1
23,"[101, 6616, 7743, 2123, 2102, 2130, 11891, 5980, 17710, 28550, 2102, 6876, 10094, 6616, 1045, 2290, 102]",1
24,"[101, 2288, 8038, 7743, 5955, 11756, 2075, 23165, 2723, 102]",1
25,"[101, 22418, 2970, 2066, 6014, 2341, 102]",1
26,"[101, 7570, 2063, 2718, 102]",1
27,"[101, 2777, 22418, 4153, 2852, 2435, 22418, 14255, 2140, 102]",1
28,"[101, 2342, 4440, 7685, 7743, 6616, 21863, 2791, 2072, 102]",1
29,"[101, 5247, 2769, 2215, 7743, 3902, 2072, 102]",1
30,"[101, 19067, 2102, 2214, 7743, 2047, 7743, 22418, 4954, 2102, 102]",1
31,"[101, 2360, 10047, 2067, 2214, 2214, 7743, 2229, 2052, 2131, 4654, 26243, 102]",1
32,"[101, 7110, 2102, 10094, 4028, 2208, 22418, 9152, 23033, 3844, 102]",1
33,"[101, 10393, 2589, 22418, 27136, 102]",1
34,"[101, 10047, 2589, 8618, 7743, 2229, 10236, 4854, 4743, 2045, 2015, 10439, 102]",1
35,"[101, 8038, 7743, 102]",1
36,"[101, 7110, 2102, 2498, 3013, 7743, 102]",1
37,"[101, 18414, 2015, 3113, 2365, 8038, 23055, 4632, 7743, 102]",1
38,"[101, 20342, 2015, 6933, 7570, 2229, 2008, 2015, 4000, 15912, 102]",1
39,"[101, 2066, 29044, 2056, 2123, 2102, 2293, 7570, 102]",1
40,"[101, 23603, 2056, 22418, 8870, 2503, 3899, 6806, 2271, 102]",2
41,"[101, 6283, 7570, 2229, 5440, 12464, 102]",1
42,"[101, 3835, 3057, 2919, 2191, 2131, 20355, 2919, 14315, 2080, 7570, 2063, 2613, 3835, 2303, 2148, 14556, 2066, 7861, 2613, 4317, 102]",1
43,"[101, 14255, 25370, 14255, 25370, 7570, 2229, 2925, 29536, 2594, 102]",1
44,"[101, 2695, 3861, 22418, 2131, 5622, 2243, 102]",1
45,"[101, 22418, 3928, 4319, 102]",1
46,"[101, 4248, 3538, 22418, 2655, 2852, 102]",1
47,"[101, 2770, 2461, 2066, 4435, 2047, 22418, 2008, 2015, 10094, 2131, 6616, 102]",1
48,"[101, 7743, 2229, 2130, 5409, 4604, 3124, 102]",1
49,"[101, 7570, 2229, 2066, 9152, 23033, 2015, 5247, 2769, 2831, 10094, 102]",1
50,"[101, 2123, 2102, 3404, 9152, 23033, 2015, 7743, 102]",1
51,"[101, 8038, 3363, 9152, 23033, 2015, 1038, 26450, 2075, 7570, 2229, 3426, 8038, 3363, 7110, 2102, 2196, 7743, 102]",1
52,"[101, 11898, 7960, 4830, 7743, 2229, 3013, 6875, 5391, 4067, 2643, 102]",1
53,"[101, 2402, 17357, 13904, 7743, 2229, 2293, 14163, 2015, 102]",1
54,"[101, 5572, 9516, 8398, 2763, 20133, 10474, 7570, 102]",1
55,"[101, 5637, 9152, 23033, 2015, 3524, 2552, 2066, 7743, 2229, 3892, 102]",1
56,"[101, 10047, 2050, 8954, 4937, 1050, 5672, 6770, 8569, 3363, 24829, 21275, 2166, 7743, 102]",1
57,"[101, 23713, 2908, 2467, 7570, 102]",1
58,"[101, 2365, 7743, 2165, 14841, 2278, 11937, 6169, 2066, 9587, 5737, 102]",1
59,"[101, 10587, 2131, 2769, 6616, 2944, 7743, 2229, 5735, 21934, 8202, 102]",1
60,"[101, 3026, 21572, 5910, 2763, 2568, 2082, 2172, 3066, 7743, 4632, 5089, 2128, 2102, 28394, 2102, 102]",1
61,"[101, 1060, 3207, 5017, 2100, 8239, 6904, 2290, 2056, 102]",1
62,"[101, 3801, 2228, 5306, 22418, 10140, 4933, 2191, 16405, 18719, 102]",1
63,"[101, 4364, 3432, 4215, 29201, 2098, 3406, 12193, 7274, 15854, 2546, 15854, 2546, 2980, 8040, 3973, 14804, 102]",2
64,"[101, 8038, 2412, 2356, 7743, 7743, 2229, 29270, 2376, 1061, 102]",1
65,"[101, 1057, 2908, 3288, 24471, 2217, 7743, 2208, 2113, 8038, 1043, 2546, 2814, 8415, 102]",1
66,"[101, 15854, 2546, 15854, 2546, 2980, 14017, 102]",2
67,"[101, 3393, 7382, 2666, 4521, 10848, 2080, 23713, 10447, 2028, 10848, 2080, 8840, 2140, 102]",2
68,"[101, 7743, 6616, 1057, 2672, 2131, 6655, 2102, 102]",1
69,"[101, 6616, 2417, 16321, 2158, 7743, 4632, 9152, 23033, 2232, 2071, 3531, 2224, 3143, 2741, 102]",1
70,"[101, 8288, 24759, 4630, 7861, 29147, 2072, 18629, 2360, 2246, 2066, 6978, 1048, 2863, 2080, 102]",2
71,"[101, 21863, 2791, 3240, 15779, 14181, 2028, 7916, 7743, 102]",1
72,"[101, 7367, 2232, 22418, 4954, 3334, 6457, 12731, 8113, 8318, 1048, 2863, 2080, 102]",1
