,input_ids,intent
0,"[101, 2619, 29525, 13808, 2078, 3538, 4485, 12779, 102]",5
1,"[101, 2821, 2053, 2229, 7823, 4485, 102]",0
2,"[101, 8840, 2140, 6886, 14636, 5210, 14652, 24471, 2140, 102]",0
3,"[101, 4830, 6616, 2183, 2111, 2273, 2282, 2308, 2282, 4060, 2028, 6293, 1059, 102]",0
4,"[101, 6616, 102]",0
5,"[101, 3827, 2291, 21746, 2145, 2893, 2185, 9280, 4028, 7848, 5895, 3280, 7064, 5773, 2066, 13187, 2253, 3335, 102]",5
6,"[101, 6616, 7861, 102]",0
7,"[101, 2131, 4365, 5223, 2869, 3972, 20624, 3070, 1045, 2290, 3114, 24471, 2140, 102]",0
8,"[101, 1055, 22578, 7898, 3501, 2008, 2015, 3105, 7743, 102]",0
9,"[101, 12873, 12054, 102]",0
10,"[101, 2391, 2051, 2228, 3653, 2015, 8398, 3957, 4485, 4445, 8840, 2140, 24471, 2140, 102]",5
11,"[101, 14636, 7040, 2204, 7906, 11992, 6167, 2075, 2455, 22159, 102]",5
12,"[101, 6616, 102]",0
13,"[101, 3398, 2342, 2081, 14636, 6186, 5668, 3424, 7011, 8840, 2140, 2051, 8680, 3786, 7698, 102]",0
14,"[101, 2126, 2693, 12867, 13350, 4025, 2191, 4485, 8198, 2312, 3655, 2175, 4873, 2525, 4485, 4920, 2147, 102]",5
15,"[101, 2126, 2693, 12867, 13350, 4025, 2191, 4485, 8198, 2312, 3655, 2175, 4873, 2525, 4485, 4920, 2147, 102]",0
16,"[101, 22418, 9775, 2028, 4147, 11875, 8304, 2833, 24471, 2140, 102]",5
17,"[101, 2089, 6404, 2617, 7327, 4480, 2916, 22891, 2149, 7327, 4480, 2903, 4485, 3632, 2132, 102]",5
18,"[101, 2246, 2147, 2381, 3205, 2604, 2877, 2287, 2578, 17151, 2102, 5869, 2050, 3310, 27615, 2334, 4707, 2412, 2002, 2140, 102]",5
19,"[101, 3426, 7743, 2229, 2652, 2643, 7110, 2102, 2507, 5592, 2025, 2232, 102]",0
20,"[101, 2746, 2158, 5561, 3046, 5926, 10722, 10867, 4523, 4632, 2202, 2275, 28352, 102]",5
21,"[101, 7743, 24471, 2140, 102]",0
22,"[101, 6300, 2050, 7743, 2157, 2893, 19203, 24471, 2140, 102]",0
23,"[101, 22953, 2175, 3422, 2907, 2067, 3702, 4357, 2066, 4485, 29348, 1048, 2863, 2080, 9152, 23033, 5506, 10514, 13102, 28775, 102]",5
24,"[101, 22953, 2175, 3422, 2907, 2067, 3702, 4357, 2066, 4485, 29348, 1048, 2863, 2080, 9152, 23033, 5506, 10514, 13102, 28775, 102]",5
25,"[101, 7743, 2328, 2066, 2071, 3786, 4632, 4122, 24471, 2140, 102]",0
26,"[101, 7743, 2328, 2066, 2071, 3786, 4632, 4122, 24471, 2140, 102]",5
27,"[101, 6616, 2208, 3422, 102]",5
28,"[101, 2175, 2505, 21746, 2132, 102]",0
29,"[101, 6616, 13350, 18921, 2615, 102]",0
30,"[101, 25630, 2213, 9152, 13327, 6732, 2507, 6616, 24471, 2140, 102]",0
31,"[101, 25630, 2213, 9152, 13327, 6732, 2507, 6616, 24471, 2140, 102]",5
32,"[101, 9577, 2135, 9951, 14636, 102]",0
33,"[101, 4527, 14695, 2499, 16231, 16103, 2015, 4895, 9335, 2243, 3424, 7011, 6186, 5668, 2334, 6325, 4485, 8183, 14287, 2891, 2066, 3104, 11160, 15025, 6325, 24471, 2140, 102]",0
34,"[101, 2602, 2161, 8398, 5980, 12047, 5980, 14388, 24247, 2015, 6011, 2845, 13997, 8398, 11473, 2015, 5980, 4906, 12411, 15148, 11992, 3789, 8398, 5125, 2072, 102]",0
35,"[101, 2602, 2161, 8398, 5980, 12047, 5980, 14388, 24247, 2015, 6011, 2845, 13997, 8398, 11473, 2015, 5980, 4906, 12411, 15148, 11992, 3789, 8398, 5125, 2072, 102]",0
36,"[101, 2602, 2161, 8398, 5980, 12047, 5980, 14388, 24247, 2015, 6011, 2845, 13997, 8398, 11473, 2015, 5980, 4906, 12411, 15148, 11992, 3789, 8398, 5125, 2072, 102]",0
37,"[101, 3109, 17757, 11338, 2368, 3217, 2063, 2172, 102]",5
38,"[101, 10047, 2183, 13076, 7743, 102]",0
39,"[101, 2109, 3696, 10128, 2075, 10608, 2540, 2209, 2564, 2066, 2002, 2140, 102]",5
40,"[101, 6093, 3452, 6616, 4003, 2072, 2288, 3971, 2175, 4608, 23205, 2072, 102]",0
41,"[101, 14636, 102]",0
42,"[101, 2514, 3492, 21746, 12731, 2480, 2318, 10346, 102]",5
43,"[101, 4586, 18510, 3382, 3109, 11737, 9148, 2102, 17183, 2707, 2635, 3974, 2066, 2158, 9413, 2099, 2066, 7910, 2213, 3649, 6709, 2651, 5458, 2156, 2281, 2644, 102]",5
44,"[101, 2962, 2094, 10500, 8579, 2545, 3109, 2404, 2962, 2094, 10500, 8579, 102]",5
45,"[101, 6568, 7367, 2480, 5766, 8886, 4231, 6961, 4632, 2195, 9989, 11777, 4632, 2522, 2080, 3312, 4775, 9091, 2080, 9455, 5766, 8307, 26960, 2015, 2518, 4485, 2196, 4515, 1051, 18589, 102]",0
46,"[101, 6568, 7367, 2480, 5766, 8886, 4231, 6961, 4632, 2195, 9989, 11777, 4632, 2522, 2080, 3312, 4775, 9091, 2080, 9455, 5766, 8307, 26960, 2015, 2518, 4485, 2196, 4515, 1051, 18589, 102]",5
47,"[101, 6568, 7367, 2480, 5766, 8886, 4231, 6961, 4632, 2195, 9989, 11777, 4632, 2522, 2080, 3312, 4775, 9091, 2080, 9455, 5766, 8307, 26960, 2015, 2518, 4485, 2196, 4515, 1051, 18589, 102]",5
48,"[101, 1056, 28394, 2102, 8840, 2140, 2342, 2050, 2131, 10474, 4485, 102]",5
49,"[101, 14655, 6638, 4632, 7386, 2015, 2126, 4319, 5856, 102]",0
50,"[101, 4658, 6397, 10041, 2643, 4145, 2525, 2613, 2518, 4676, 5190, 2086, 2214, 21877, 7361, 2140, 15501, 10696, 2191, 8239, 14931, 21886, 6979, 4431, 2128, 7559, 2094, 13675, 102]",5
51,"[101, 2128, 13213, 12873, 7743, 2131, 12726, 16936, 24869, 2546, 3290, 8840, 2140, 24471, 2140, 102]",0
52,"[101, 2178, 12873, 12054, 7672, 2028, 2518, 2360, 2343, 13971, 2178, 14636, 2466, 2149, 2226, 102]",0
53,"[101, 2178, 12873, 12054, 7672, 2028, 2518, 2360, 2343, 13971, 2178, 14636, 2466, 2149, 2226, 102]",0
54,"[101, 5829, 2830, 4365, 8866, 2146, 2562, 7984, 4795, 2240, 8058, 4094, 2240, 9129, 4314, 28781, 2224, 6819, 3669, 12031, 11992, 16114, 4506, 5622, 5677, 102]",5
55,"[101, 4415, 21568, 5600, 11032, 4485, 102]",0
56,"[101, 2488, 4485, 2488, 2151, 2705, 102]",5
57,"[101, 4365, 2052, 2583, 4521, 16405, 18719, 102]",5
58,"[101, 4365, 2052, 2583, 4521, 16405, 18719, 102]",0
59,"[101, 3035, 9680, 7743, 2229, 12226, 2128, 2140, 102]",0
60,"[101, 2052, 4788, 17033, 4632, 102]",0
61,"[101, 7743, 102]",0
62,"[101, 6175, 6291, 6616, 2015, 7954, 9144, 8915, 9363, 3102, 12731, 3372, 102]",0
63,"[101, 6175, 6291, 6616, 2015, 7954, 9144, 8915, 9363, 3102, 12731, 3372, 102]",0
64,"[101, 2292, 17781, 10930, 4485, 2034, 102]",5
65,"[101, 10166, 4682, 1050, 7743, 24471, 2140, 102]",0
66,"[101, 2358, 11263, 7743, 8840, 2140, 1057, 23592, 3046, 2532, 2131, 10474, 3297, 8038, 2113, 102]",0
67,"[101, 6616, 102]",0
