,input_ids,intent
0,"[101, 2668, 3413, 7840, 3143, 2394, 3793, 2878, 2394, 3793, 6703, 3413, 7840, 3784, 24471, 2140, 102]",5
1,"[101, 2242, 2342, 2391, 102]",5
2,"[101, 2298, 8658, 3126, 102]",5
4,"[101, 12849, 19603, 14574, 10190, 2296, 7907, 3103, 102]",5
5,"[101, 3713, 3720, 2318, 11689, 102]",5
6,"[101, 2360, 11414, 7750, 7149, 13908, 2135, 8315, 2336, 2717, 5622, 2546, 102]",5
7,"[101, 2975, 2733, 5025, 2602, 3246, 2157, 2034, 2657, 6592, 102]",5
8,"[101, 2131, 3861, 2214, 5795, 4012, 19362, 102]",5
9,"[101, 4507, 29082, 7750, 2498, 28283, 2015, 24497, 18622, 2102, 102]",5
10,"[101, 2116, 2967, 20118, 4687, 2172, 11756, 9085, 2183, 5258, 3246, 3904, 2111, 2131, 3480, 102]",0
11,"[101, 2678, 2415, 12849, 6392, 2739, 11562, 4957, 2678, 2310, 3683, 2140, 3028, 3504, 2066, 2148, 7553, 2661, 2225, 1044, 18418, 29261, 102]",5
12,"[101, 19378, 15016, 29131, 3644, 10882, 24658, 6394, 8917, 2866, 102]",5
13,"[101, 2292, 3246, 3053, 2317, 2751, 3101, 2149, 2308, 4715, 2136, 4152, 4382, 102]",5
14,"[101, 2331, 6531, 3087, 2920, 2529, 11626, 3140, 15016, 3087, 5994, 2336, 102]",5
15,"[101, 2228, 3057, 2175, 4184, 3113, 4364, 3426, 2116, 4364, 3084, 6082, 3113, 2028, 2012, 19738, 3367, 2008, 2015, 2409, 10047, 4907, 2278, 102]",5
16,"[101, 11265, 20697, 102]",5
17,"[101, 2159, 2156, 3154, 102]",5
18,"[101, 2342, 1046, 3201, 2662, 8945, 4103, 102]",5
19,"[101, 2902, 2202, 2729, 7578, 2177, 5022, 2224, 10047, 22974, 2078, 102]",5
20,"[101, 2448, 14855, 2361, 3892, 102]",5
21,"[101, 4299, 6735, 4687, 16522, 3767, 11516, 2317, 2308, 102]",0
22,"[101, 5998, 2679, 8754, 3126, 102]",0
23,"[101, 6517, 5199, 102]",5
24,"[101, 2228, 2345, 8236, 3784, 2560, 3204, 5115, 29536, 2102, 102]",5
25,"[101, 8198, 2519, 3561, 3514, 2612, 28194, 102]",5
26,"[101, 3531, 3480, 2986, 6701, 2015, 2034, 2192, 7341, 5269, 13740, 3514, 2057, 2140, 102]",5
27,"[101, 4377, 2066, 10823, 2831, 25209, 2552, 5236, 102]",5
28,"[101, 7481, 2146, 2058, 8566, 102]",5
29,"[101, 2089, 5587, 2242, 2360, 4004, 2015, 2066, 10823, 2087, 102]",5
30,"[101, 4518, 2075, 27141, 5350, 2145, 2327, 3188, 102]",5
31,"[101, 7098, 2679, 19837, 2149, 2215, 7098, 102]",0
32,"[101, 2843, 2317, 6620, 4268, 2082, 102]",5
33,"[101, 2146, 2998, 2547, 2317, 2111, 2482, 102]",5
34,"[101, 2111, 7074, 4342, 10800, 2190, 2228, 102]",5
35,"[101, 2360, 5390, 22156, 2292, 7540, 6077, 2162, 102]",5
36,"[101, 4238, 6477, 2149, 2264, 3023, 9108, 11823, 19387, 3189, 3632, 2067, 2244, 16215, 2197, 2095, 102]",5
37,"[101, 2144, 9064, 2109, 5412, 4440, 7349, 2015, 2047, 2933, 2965, 2047, 10366, 2553, 2337, 2467, 3310, 2502, 2824, 14836, 6270, 5210, 7404, 2886, 2162, 3019, 4487, 20939, 2102, 102]",5
38,"[101, 2518, 2175, 2131, 3096, 4487, 102]",5
39,"[101, 4238, 2162, 5199, 102]",5
40,"[101, 2512, 12461, 4148, 102]",5
41,"[101, 2776, 24185, 1050, 2583, 2425, 6517, 102]",5
43,"[101, 9099, 19362, 102]",5
44,"[101, 2293, 4209, 4364, 10740, 4933, 2066, 2228, 3057, 4377, 4385, 4067, 2711, 2318, 11689, 6581, 2131, 12369, 3287, 2568, 102]",5
45,"[101, 4916, 2015, 4377, 2126, 102]",5
46,"[101, 5262, 2028, 1050, 2644, 2617, 5136, 13494, 1050, 2156, 5793, 21963, 2744, 102]",0
47,"[101, 2467, 2579, 4474, 2242, 6433, 18921, 3366, 102]",5
48,"[101, 15511, 4942, 27774, 4148, 102]",5
49,"[101, 1050, 6178, 4183, 102]",5
50,"[101, 2052, 27571, 5705, 2215, 2298, 1059, 16584, 102]",5
51,"[101, 4136, 2882, 16657, 3514, 2983, 2652, 12455, 18656, 2393, 2240, 10306, 13718, 9510, 102]",5
52,"[101, 2092, 3632, 22412, 11947, 3399, 3638, 2812, 2300, 4920, 2061, 18752, 102]",5
53,"[101, 5035, 6525, 3389, 21934, 8202, 102]",5
54,"[101, 2155, 7929, 4748, 2078, 2681, 2894, 3492, 4314, 2082, 102]",5
55,"[101, 2300, 2941, 11907, 5622, 4226, 10451, 22412, 11947, 102]",5
56,"[101, 4287, 1050, 1054, 22569, 7842, 2290, 1052, 102]",5
57,"[101, 12943, 2890, 102]",5
58,"[101, 3530, 16360, 3524, 2295, 10036, 2769, 5294, 15358, 12166, 13675, 16585, 5085, 7747, 20063, 6107, 4481, 4385, 4385, 102]",5
59,"[101, 2145, 2300, 4515, 2327, 3514, 3953, 102]",0
60,"[101, 1050, 6752, 16060, 2050, 102]",5
61,"[101, 2052, 7714, 2066, 6160, 2317, 17937, 2215, 3693, 2954, 16060, 2050, 102]",5
62,"[101, 2066, 24405, 2290, 102]",0
63,"[101, 2514, 3492, 2894, 2632, 4140, 2051, 8117, 102]",5
64,"[101, 3751, 16522, 2998, 3047, 10439, 19500, 11678, 2317, 21877, 7361, 2140, 102]",5
65,"[101, 2132, 2172, 8254, 2278, 102]",5
66,"[101, 2052, 1050, 5914, 4004, 2130, 25022, 6820, 10623, 2072, 102]",5
67,"[101, 3422, 2167, 2637, 2066, 2304, 4368, 2867, 21435, 102]",5
68,"[101, 3398, 6069, 2203, 2066, 2197, 7570, 2063, 4524, 2288, 2920, 9610, 8737, 102]",5
69,"[101, 2157, 3424, 2317, 2502, 4140, 4122, 2444, 2105, 10823, 4122, 2486, 2111, 2444, 2105, 2304, 102]",5
70,"[101, 4863, 2859, 6135, 2231, 3079, 4758, 4750, 2594, 3842, 2664, 5949, 2015, 2088, 4219, 18015, 2311, 4064, 1039, 102]",0
71,"[101, 21025, 2102, 3407, 4632, 102]",0
72,"[101, 4929, 3649, 2806, 4983, 24405, 5999, 2052, 3811, 14477, 4779, 22648, 4183, 102]",5
73,"[101, 6517, 4063, 12461, 3046, 2175, 2304, 102]",5
74,"[101, 8042, 3343, 2630, 2159, 2052, 2973, 2829, 2606, 11701, 2630, 1041, 2100, 102]",5
75,"[101, 2926, 11481, 2015, 2559, 1059, 16584, 102]",5
76,"[101, 4165, 2066, 2477, 3492, 4658, 6904, 4328, 3669, 102]",5
77,"[101, 2498, 2412, 4025, 102]",5
78,"[101, 2317, 4268, 2215, 2304, 102]",5
79,"[101, 2066, 2156, 4238, 13387, 3956, 4949, 102]",5
80,"[101, 2162, 4238, 2337, 2197, 2285, 4342, 2567, 5208, 2052, 4440, 2634, 11558, 13114, 13114, 102]",5
81,"[101, 2144, 2155, 4636, 14428, 15758, 4889, 5716, 3146, 8851, 2667, 2424, 2147, 2173, 1048, 102]",5
82,"[101, 2739, 4928, 2035, 13910, 102]",5
83,"[101, 3768, 2231, 2535, 3226, 4504, 2530, 3226, 2651, 102]",5
84,"[101, 2036, 6603, 2903, 4942, 22903, 6020, 2019, 14573, 102]",5
86,"[101, 2246, 4274, 2071, 2006, 8516, 2424, 5223, 18866, 3424, 4133, 102]",5
87,"[101, 5576, 21934, 24759, 102]",5
88,"[101, 2288, 2204, 2814, 4845, 2292, 2425, 8038, 2204, 2814, 2524, 4012, 102]",5
89,"[101, 3338, 102]",5
90,"[101, 4364, 2145, 5463, 2082, 2214, 1054, 8038, 2215, 2404, 7339, 2144, 2028, 14464, 2066, 3096, 2082, 2228, 102]",5
91,"[101, 2131, 9573, 3409, 9622, 10047, 2183, 2131, 6755, 7595, 8133, 11660, 2157, 2849, 2502, 102]",5
92,"[101, 3011, 8892, 2210, 17163, 2015, 5822, 4012, 19894, 16721, 2015, 5155, 3514, 102]",5
93,"[101, 2215, 2156, 6782, 4253, 4929, 4385, 102]",5
94,"[101, 12954, 3611, 2141, 2866, 3008, 2234, 3163, 3084, 3493, 102]",5
95,"[101, 9435, 3190, 3071, 2467, 2758, 2632, 4140, 3096, 13038, 4390, 2424, 102]",5
96,"[101, 2467, 4332, 9200, 2776, 11689, 5843, 102]",5
97,"[101, 2464, 4148, 2116, 2335, 4654, 24759, 7716, 102]",5
98,"[101, 2437, 2428, 6450, 3800, 2437, 6090, 102]",5
99,"[101, 3599, 2991, 2067, 2691, 3168, 2691, 3168, 2758, 6343, 5689, 2105, 2519, 2202, 9092, 102]",5
100,"[101, 3531, 2562, 2568, 102]",5
101,"[101, 26613, 4602, 2518, 4148, 2406, 2202, 2406, 2067, 102]",5
102,"[101, 16889, 2003, 2094, 102]",5
103,"[101, 2388, 2601, 2829, 2606, 8478, 2665, 1041, 2100, 102]",5
104,"[101, 4299, 3239, 3609, 102]",0
105,"[101, 2143, 2440, 13848, 5622, 102]",5
106,"[101, 5754, 19190, 11733, 2618, 2409, 6160, 2695, 2236, 2743, 3215, 5199, 102]",5
108,"[101, 2438, 3514, 3634, 2086, 2552, 2226, 102]",0
109,"[101, 12011, 3257, 2166, 4606, 3017, 3360, 6970, 4328, 20156, 2679, 4676, 102]",5
110,"[101, 2502, 2933, 102]",0
111,"[101, 9726, 3836, 2409, 12592, 4845, 29082, 2105, 2465, 2175, 2067, 3532, 4632, 2406, 4122, 11224, 2105, 102]",0
112,"[101, 3246, 26781, 2015, 2204, 18856, 16429, 5677, 2075, 3968, 14194, 102]",0
113,"[101, 12362, 18712, 2140, 102]",0
114,"[101, 2428, 4752, 3601, 5609, 12276, 2679, 2081, 2439, 102]",0
115,"[101, 2191, 3291, 3008, 2131, 3086, 7574, 2775, 10958, 2278, 102]",5
116,"[101, 4957, 5491, 18667, 5405, 2404, 2143, 102]",5
